,logFC,AveExpr,t,P.Value,adj.P.Val,B
SLC25A48-AS1,0.513024955065735,4.61284306860996,8.08468669833553,1.65929664007936E-11,9.01240899461642E-09,15.9531270340736
FGFBP2,0.646020578230174,3.72944699199153,7.94913451762705,2.91551496605196E-11,1.50989773904677E-08,15.4118526420448
KRTAP1-1,0.553619218957493,4.13281355457115,7.69685084044583,8.3220905748545E-11,3.43193768539694E-08,14.4044052925106
ANO4,0.582019194317326,4.40951209438813,7.61892724882492,1.15041016493178E-10,4.49447087067821E-08,14.0933586725233
SUMO1P2,0.517003888215555,3.685196393583,7.58193347570356,1.34150115128664E-10,5.06337104033935E-08,13.9457310736592
SPIRE2,0.521106859664039,3.76042020214229,7.44275722232404,2.39068210864098E-10,8.58679030279453E-08,13.3906434349562
NLRP12,0.566195504215528,4.53138546205781,7.41494776972593,2.68304692940112E-10,9.33574563606776E-08,13.279799896856
FAM83C,0.974031204169545,4.02168192029932,7.38455941508798,3.06819239131111E-10,1.01408430860973E-07,13.151309445933
UPF3B,0.586601517309934,5.42567575789799,7.26425333605085,5.01080575828497E-10,1.54980046432289E-07,12.6796854883667
USP11,0.70801560421816,4.17304200389382,6.99089345815673,1.56125427379181E-09,3.90646869922132E-07,11.5882654907017
VPS28,0.544766696783541,3.70220210038346,6.82786906678117,3.03604419104106E-09,6.95568973901266E-07,10.9491341865092
VPS37B,0.544766696783541,3.70220210038346,6.82786906678117,3.03604419104106E-09,6.95568973901266E-07,10.9491341865092
VPS37D,0.543060833388721,5.0734175853326,6.76598851725456,3.91517608346719E-09,8.54775060811088E-07,10.7049147803247
XPC,0.700967849505543,5.82223180022221,6.71998717915696,4.75765486545475E-09,9.54488434223531E-07,10.5181292517868
ZNF707,0.505245386138045,4.9128562032959,6.63083141891229,6.81449666679118E-09,1.2860341209557E-06,10.172788369758
ZNRD1,0.616007210644772,4.45585618557208,6.54427859289385,9.73873535860981E-09,1.76318616016977E-06,9.83022105381717
ZWINT,0.884197579329766,5.92279595091651,6.53795804585512,1.00198044905075E-08,1.77225161111857E-06,9.80307971335239
GSX2,0.684277477831173,5.63796751546819,6.52246779486839,1.06735148234303E-08,1.8569414187732E-06,9.74241487421222
SLC28A3,0.734364300250093,4.91252412592384,6.46203656330164,1.3654452113515E-08,2.30882055079756E-06,9.50602292163135
CT62,0.568226865084138,4.02683908882254,6.29256339011947,2.70798056831699E-08,4.24676192083458E-06,8.84879570021027
ALDOAP2,0.568354921639011,4.64170345036472,6.22559230045769,3.55181848082831E-08,5.30841917782319E-06,8.58864032533114
SEPTIN7P9,0.526662152873252,3.60330447947013,6.12131241556039,5.4019714520629E-08,7.56581775257791E-06,8.18648567533315
PDXK,0.62770639712776,6.02592194462136,6.06357582252066,6.84289662372933E-08,8.80835057305366E-06,7.96015690311229
THRSP,0.728857581526536,6.05816414187609,6.01492152123493,8.31982295919035E-08,1.0350510473643E-05,7.77288352813346
HK2,0.7242310452972,9.70047459036949,5.99174587689421,9.12924663658558E-08,1.10424572460222E-05,7.6839214681377
KLK5,0.62684758487011,4.51106343788566,5.98345241342612,9.43744085255085E-08,1.12990521691105E-05,7.65210956048254
CYTOR,0.50365214116917,4.92847071745789,5.9510885021531,1.06948352755716E-07,1.22135018847027E-05,7.53193343360476
H4C14,0.719838407815822,4.82758640492266,5.84774905396034,1.62198094227611E-07,1.70376856620504E-05,7.13340036606807
H4C15,0.719838407815822,4.82758640492266,5.84774905396034,1.62198094227611E-07,1.70376856620504E-05,7.13340036606807
TCAF2P1,0.516482447420476,4.04876961314012,5.81503510581277,1.84170055974848E-07,1.88132246628619E-05,7.01151676976174
TCAF2,0.516482447420476,4.04876961314012,5.81503510581277,1.84170055974848E-07,1.88132246628619E-05,7.01151676976174
TCAF2C,0.516482447420476,4.04876961314012,5.81503510581277,1.84170055974848E-07,1.88132246628619E-05,7.01151676976174
KRT33A,0.512198593033578,5.08833466232094,5.78912675616131,2.04110698679119E-07,2.03603048552913E-05,6.91309796679419
ACP3,0.956414800899497,5.56791673594165,5.78319551003054,2.0960839677295E-07,2.07456417232748E-05,6.88791261580701
